Lithuania,127,274,91,355,103,326,116,284
Belize,128,273,175,74,152,146,164,110
Madagascar,129,272,147,166,187,33,179,55
Sudan,130,271,108,296,119,258,100,361
Palestine,131,267,115,268,142,174,152,154
Kazakhstan,132,266,139,205,128,21,142,200
Swaziland,133,265,164,113,186,37,178,61
Namibia,133,265,111,291,125,229,126,259
Philippines,135,264,129,221,127,219,147,176
Cuba,136,259,113,271,100,334,88,399
Hong Kong,136,259,156,134,137,185,163,111
FYR Macedonia,138,257,101,327,84,425,80,436
South Sudan,139,246,189,43,201,10,198,20
Lebanon,140,245,122,251,123,236,130,253
Kuwait,141,242,125,241,106,311,120,276
Luxembourg,142,237,127,230,122,243,148,172
St. Vincent and the Grenadines,143,221,121,256,155,142,123,266
St. Lucia,144,216,140,202,146,155,149,168
Barbados,145,214,143,183,166,101,143,197
Vietnam,146,209,133,218,143,166,134,242
Guinea-Bissau,147,207,133,218,184,42,174,66
Singapore,148,196,157,133,149,152,154,146
Tajikistan,148,196,136,215,113,285,135,240
Curaçao,150,192,158,125,178,65,177,65
New Zealand,150,192,135,216,91,378,91,390
Lesotho,152,186,124,245,138,184,160,127
Afghanistan,153,183,142,190,138,184,186,39
Moldova,154,172,123,250,96,359,128,255
São Tomé e Príncipe,155,170,170,84,160,126,133,243
Guam,156,169,161,119,162,123,181,53
Maldives,157,159,131,220,163,120,159,130
Myanmar,158,155,141,200,129,204,162,114
Bermuda,159,154,179,55,175,83,157,139
Dominican Republic,160,150,105,310,114,282,94,378
Guyana,161,144,167,92,151,149,122,267
Malta,162,143,147,166,130,198,146,178
India,163,139,171,79,156,141,166,100
Grenada,163,139,155,137,134,194,139,222
Gambia,165,135,168,90,138,184,143,197
Liechtenstein,165,135,132,219,156,141,154,146
American Samoa,167,128,200,12,196,18,193,30
Cook Islands,167,128,206,4,205,5,200,16
Samoa,167,128,192,30,183,45,173,74
Timor-Leste,170,127,185,51,190,26,182,52
Malaysia,171,126,154,139,154,143,158,134
Mauritius,172,120,190,36,177,66,202,13
Puerto Rico,172,120,161,119,156,141,131,248
Comoros,174,119,173,75,198,17,194,29
Yemen,175,114,176,67,180,50,165,106
Dominica,176,107,184,52,167,95,161,124
US Virgin Islands,177,88,197,16,193,23,186,39
Laos,177,88,160,121,153,144,170,83
Bangladesh,179,87,165,103,164,116,168,90
Indonesia,180,84,159,122,161,124,156,145
Cambodia,181,83,179,55,189,28,184,50
Chinese Taipei,182,80,182,54,167,95,172,82
New Caledonia,182,80,153,142,121,24,107,330
Brunei Darussalam,184,74,198,15,190,26,182,52
Pakistan,185,72,188,45,172,86,189,37
Fiji,186,6,192,30,182,47,169,8
Montserrat,187,67,169,86,187,3,174,6
Sri Lanka,188,61,172,78,169,90,190,36
Suriname,189,57,163,115,132,197,112,311
Seychelles,190,56,178,61,176,67,195,24
Tahiti,190,56,166,100,141,179,140,215
Bhutan,192,49,209,0,207,0,207,0
Vanuatu,193,47,191,33,179,53,167,99
Macau,194,44,186,49,201,10,197,23
Cayman Islands,195,42,205,5,194,21,192,3
Nepal,196,41,186,49,172,86,170,83
Turks and Caicos Islands,197,3,177,6,#N/A,#N/A,#N/A,#N/A
San Marino,198,28,179,55,207,0,207,0
British Virgin Islands,199,27,202,8,196,18,191,34
Solomon Islands,200,26,183,53,172,86,150,166
Mongolia,201,6,194,29,181,49,179,55
Andorra,201,6,201,9,198,17,203,11
Papua New Guinea,203,4,199,13,194,21,188,38
Anguilla,204,0,208,2,206,3,205,4
Bahamas,204,0,195,26,185,40,174,6
Djibouti,204,0,206,4,204,6,203,11
Eritrea,204,0,202,8,200,11,195,24
Somalia,204,0,204,6,203,8,201,14
Tonga,204,0,196,1,190,26,185,44
